,starname,distance,mass,radius
171,PSO J318.5−22,80,6.5,1.53
172,HB 2124-4228,113,94,1.21
173,2MASS J21392676+0220226,32.1,46,0.96
174,2MASS J21481628+4003593,26.3,55,0.99
176,2MASSW J2206450-421721,93,22,1.33
177,2MASSW J2208136+292121,154,27,1.41
178,2MASSW J2224438-015852,38,61,0.99
179,2MASS J22282889-4310262,35,42,0.94
180,2MASS J22373255+3922398,64,73,1.04
181,2MASSW J2244316+204343,56,12,1.29
182,2MASS J23224684-3133231,56,24,1.39
183,2MASS J23225299-6151275,148,17,1.59
184,2MASS J23515044-2537367,67,88,1.16
185,2MASSI J2356547-155310,74,80,1.09
223,WISE 0410+1502,20,6,1.17
227,WISE 0458+6434A,35.9,15,4.2
228,WISE 0458+6434B,35.9,10,3.8
282,WISE 1405+5534,25.3,30,0.86
